add_date,shop_id,product_id,category_id,price,old_price
2024-09-30 03:07:09,350,1025536,8922,6990,6990
2024-09-19 03:07:08,350,1025614,10600,330,330
2024-09-30 03:07:09,350,1025656,231,13240,26490
2024-09-30 03:07:09,350,1025659,14546,7550,12590
2024-09-30 03:07:09,350,1025668,1949,1290,1290
2024-09-30 03:07:09,350,1025683,2176,10820,36090
2024-09-30 03:07:09,350,1025995,9089,6376,10632
2024-09-19 03:07:08,350,1026193,961,1790,5990
2024-09-30 03:07:09,350,1026199,1030,2390,7990
2024-09-30 03:07:09,350,1026202,16647,27780,27780
2024-09-18 03:07:18,350,1026220,1338,1460,4890
2024-09-30 03:07:09,350,1026232,7402,5440,10890
2024-09-29 03:07:10,350,1026256,619,7232,14472
2024-09-30 03:07:09,350,1026325,7402,5440,10890
2024-09-30 03:07:09,350,1026391,601,1460,4890
2024-09-19 03:07:08,350,1026427,2094,3230,10790
2024-09-30 03:07:09,350,1026451,230,2232,3192
2024-09-30 03:07:09,350,1026478,2247,2790,5590
2024-09-30 03:07:09,350,1026505,1155,1370,4590
2024-08-07 03:07:13,350,1026727,2281,6990,13990
2024-09-30 03:07:09,350,1026877,304,790,1990
2024-09-30 03:07:09,350,1027018,1963,1990,1990
2024-09-30 03:07:09,350,1027036,59,2510,3590
2024-09-06 03:07:04,350,1027066,7078,10820,36090
2024-09-30 03:07:09,350,1027096,9186,460,460
2024-09-10 03:07:42,350,1027120,14546,6640,13290
2024-09-30 03:07:09,350,1027153,1202,1190,2390
2024-09-25 16:08:23,350,1027180,619,2030,6790
2024-09-30 03:07:09,350,1027195,2087,20900,20900
2024-09-30 03:07:09,350,1027276,619,1624,5432
2024-09-30 03:07:09,350,1027384,9186,260,260
2024-09-30 03:07:09,350,1035727,1949,830,1390
2024-09-30 03:07:09,350,1035730,14579,6900,6900
2024-09-30 03:07:09,350,1035745,14579,9700,9700
2024-09-30 03:07:09,350,1035841,1949,830,1390
2024-09-30 03:07:09,350,1035856,14579,10000,14290
2024-09-02 03:07:22,350,1035874,14579,11750,16790
2024-09-30 03:07:09,350,1035898,1949,830,1390
2024-09-30 03:07:09,350,1035928,1948,830,1390
2024-09-30 03:07:09,350,1035976,1047,6640,13290
2024-07-28 03:07:05,350,1037071,8866,3410,5690
2024-09-25 16:08:23,350,1037152,15002,890,890
2024-07-05 03:07:08,350,1037218,15002,3490,4990
2024-09-30 03:07:09,350,1037449,6931,1690,1690
2024-05-07 18:07:37,350,1037518,8872,15992,15992
2024-08-30 12:46:23,350,1037674,6931,3472,6952
2024-09-30 03:07:09,350,1037764,935,9090,12990
2024-09-30 03:07:09,350,1037770,14294,9990,9990
2024-09-30 03:07:09,350,1037773,14294,9990,9990
2024-09-30 03:07:09,350,1037779,14294,9990,9990
2024-07-01 03:07:05,350,1037902,8922,3140,4490
